function	absent_faprotax2	present_faprotax2	records_faprotax2	absent_faprotax1	present_species_faprotax1_converted	species_explicitly_present_faprotax1	higher_level_taxa_present_faprotax1	faprotax2_minus_1
arsenate_detoxification	148	10	158	0	9	9	7	1
arsenite_oxidation_detoxification	89	11	100	0	10	10	6	1
dissimilatory_arsenate_reduction	63	41	104	0	39	40	23	1
anoxygenic_photoautotrophy_Fe_oxidizing	2075	9	2084	0	6	6	0	3
dissimilatory_arsenite_oxidation	55	18	73	0	14	14	21	4
arsenite_oxidation_energy_yielding	342	9	351	0	4	4	14	5
human_pathogens_nosocomia	0	16	16	0	10	10	0	6
human_pathogens_gastroenteritis	0	24	24	0	17	17	0	7
aerobic_anoxygenic_phototrophy	3530	80	3610	0	71	72	2	8
manganese_oxidation	330	28	358	0	20	20	28	8
nitrite_ammonification	3672	70	3742	0	64	61	8	9
ligninolysis	41	46	87	0	35	36	9	10
methanogenesis_by_reduction_of_methyl_compounds_with_H2	15168	17	15185	5000	8	7	3	10
anammox	3799	18	3817	0	6	7	6	11
human_pathogens_diarrhea	0	24	24	0	13	13	0	11
dark_sulfite_oxidation	530	23	553	0	11	11	1	12
aerobic_nitrite_oxidation	2059	19	2078	0	17	5	7	14
nitrate_ammonification	3748	65	3813	0	56	51	8	14
acetoclastic_methanogenesis	15189	20	15209	5000	6	4	1	16
arsenate_respiration	4071	50	4121	0	30	31	17	19
fish_parasites	0	25	25	0	6	6	2	19
human_pathogens_meningitis	0	38	38	0	19	19	0	19
knallgas_bacteria	1765	43	1808	0	36	24	13	19
manganese_respiration	4100	56	4156	0	36	37	8	19
chlorate_reducers	10	21	31	0	3	1	2	20
dark_iron_oxidation	159	76	235	0	55	56	19	20
predatory_or_exoparasitic	0	24	24	0	6	0	9	24
human_pathogens_septicemia	0	45	45	0	20	20	0	25
anoxygenic_photoautotrophy_H2_oxidizing	2104	64	2168	0	29	29	0	35
human_pathogens_pneumonia	0	59	59	0	18	18	0	41
nitrification	2032	66	2098	0	53	23	20	43
methanogenesis_by_disproportionation_of_methyl_groups	15155	46	15201	5000	17	0	1	46
aerobic_ammonia_oxidation	1822	92	1914	0	38	20	13	72
iron_respiration	4215	186	4401	0	110	111	22	75
methanogenesis_using_formate	15155	86	15241	5000	20	9	9	77
hydrogenotrophic_methanogenesis	15110	123	15233	5000	78	20	29	103
plant_pathogen	0	300	300	0	193	196	1	104
anoxygenic_photoautotrophy	2075	174	2249	0	111	69	43	105
methanotrophy	87	130	217	0	44	24	32	106
anoxygenic_photoautotrophy_S_oxidizing	2078	161	2239	0	97	53	41	108
nitrite_respiration	4523	297	4820	0	199	187	41	110
nitrous_oxide_denitrification	4000	117	4117	0	7	7	2	110
dark_sulfide_oxidation	205	153	358	0	76	40	30	113
invertebrate_parasites	0	162	162	0	43	31	5	131
methanogenesis_by_CO2_reduction_with_H2	15104	145	15249	5000	71	14	22	131
aliphatic_non_methane_hydrocarbon_degradation	92	155	247	0	53	22	6	133
dark_sulfur_oxidation	475	185	660	0	94	51	28	134
dark_thiosulfate_oxidation	502	224	726	0	95	84	53	140
fumarate_respiration	4405	253	4658	0	115	106	10	147
nitrite_denitrification	4217	261	4478	0	111	105	26	156
reductive_acetogenesis	507	194	701	0	57	36	11	158
dark_oxidation_of_sulfur_compounds	190	277	467	0	183	118	88	159
methanogenesis	15064	197	15261	5000	94	29	40	168
intracellular_parasites	0	170	170	0	112	0	13	170
sulfite_respiration	6558	259	6817	0	84	75	12	184
oil_bioremediation	6	232	238	0	22	22	0	210
photoheterotrophy	1965	309	2274	0	132	97	49	212
nitrogen_respiration	4157	561	4718	0	425	347	101	214
chitinolysis	1418	299	1717	0	77	76	10	223
aromatic_hydrocarbon_degradation	209	293	502	0	80	52	11	241
xylanolysis	644	431	1075	0	187	174	15	257
sulfate_respiration	5373	340	5713	0	176	64	52	276
nitrate_denitrification	5524	380	5904	0	109	103	26	277
hydrocarbon_degradation	54	377	431	0	169	98	51	279
human_pathogens_all	0	489	489	0	257	205	10	284
methylotrophy	155	362	517	0	115	67	58	295
dark_hydrogen_oxidation	539	468	1007	0	271	171	53	297
sulfur_respiration	5243	406	5649	0	166	109	39	297
oxygenic_photoautotrophy	15348	317	15665	5169	50	0	29	317
methanol_oxidation	492	363	855	0	70	42	19	321
thiosulfate_respiration	6684	453	7137	0	148	110	23	343
nitrate_respiration	6517	675	7192	0	401	320	95	355
human_gut	0	466	466	0	138	107	22	359
mammal_gut	0	521	521	0	140	108	23	413
nitrogen_fixation	206	561	767	0	182	133	41	428
respiration_of_sulfur_compounds	6389	686	7075	0	357	228	105	458
photoautotrophy	1974	529	2503	1	161	69	72	460
cellulolysis	1975	610	2585	0	166	149	17	461
plastic_degradation	32	575	607	0	51	53	10	522
phototrophy	1817	667	2484	0	246	142	116	525
animal_parasites_or_symbionts	0	1092	1092	0	586	379	57	713
aromatic_compound_degradation	207	1139	1346	0	231	113	29	1026
human_associated	0	1501	1501	0	379	301	32	1200
ureolysis	5611	2222	7833	0	487	431	48	1791
nitrate_reduction	5207	4517	9724	0	1240	861	294	3656
fermentation	4676	5104	9780	0	1558	563	362	4541
aerobic_chemoheterotrophy	2090	9630	11720	0	3123	497	535	9133
chemoheterotrophy	351	13304	13655	0	4904	1501	1008	11803
